location,cause,year,val
Afghanistan,Mental disorders,2020,2180.321509
Afghanistan,Mental disorders,2021,2237.189071
Afghanistan,Musculoskeletal disorders,2017,1052.253731
Afghanistan,Musculoskeletal disorders,2018,1059.451471
Afghanistan,Musculoskeletal disorders,2019,1066.506977
Afghanistan,Musculoskeletal disorders,2020,1068.997602
Afghanistan,Musculoskeletal disorders,2021,1072.051508
Afghanistan,Neglected tropical diseases and malaria,2017,476.2385099
Afghanistan,Neglected tropical diseases and malaria,2018,403.2138169
Afghanistan,Neglected tropical diseases and malaria,2019,310.0747843
Afghanistan,Neglected tropical diseases and malaria,2020,302.2797749
Afghanistan,Neglected tropical diseases and malaria,2021,305.3583518
Afghanistan,Neoplasms,2017,1836.650799
Afghanistan,Neoplasms,2018,1837.159302
Afghanistan,Neoplasms,2019,1856.096933
Afghanistan,Neoplasms,2020,1854.634182
Afghanistan,Neoplasms,2021,1840.576262
Afghanistan,Neurological disorders,2017,1101.904591
Afghanistan,Neurological disorders,2018,1094.656423
Afghanistan,Neurological disorders,2019,1094.515565
Afghanistan,Neurological disorders,2020,1084.778371
Afghanistan,Neurological disorders,2021,1070.250456
Afghanistan,Nutritional deficiencies,2017,797.7011634
Afghanistan,Nutritional deficiencies,2018,763.4668289
Afghanistan,Nutritional deficiencies,2019,737.4465461
Afghanistan,Nutritional deficiencies,2020,706.8249074
Afghanistan,Nutritional deficiencies,2021,669.093742
Afghanistan,Other infectious diseases,2017,3130.840726
Afghanistan,Other infectious diseases,2018,3293.971788
Afghanistan,Other infectious diseases,2019,2836.36986
Afghanistan,Other infectious diseases,2020,2246.310489
Afghanistan,Other infectious diseases,2021,2268.593564
Afghanistan,Other non-communicable diseases,2017,6675.517268
Afghanistan,Other non-communicable diseases,2018,6468.218337
Afghanistan,Other non-communicable diseases,2019,6351.103436
Afghanistan,Other non-communicable diseases,2020,6146.239617
Afghanistan,Other non-communicable diseases,2021,5875.169318
Afghanistan,Respiratory infections and tuberculosis,2017,5335.823156
Afghanistan,Respiratory infections and tuberculosis,2018,5012.69315
Afghanistan,Respiratory infections and tuberculosis,2019,4800.591895
Afghanistan,Respiratory infections and tuberculosis,2020,7748.136307
Afghanistan,Respiratory infections and tuberculosis,2021,7389.651831
Afghanistan,Self-harm and interpersonal violence,2017,8569.605748
Afghanistan,Self-harm and interpersonal violence,2018,10939.89269
Afghanistan,Self-harm and interpersonal violence,2019,9294.673665
Afghanistan,Self-harm and interpersonal violence,2020,6771.977366
Afghanistan,Self-harm and interpersonal violence,2021,10073.78299
Afghanistan,Sense organ diseases,2017,477.4503235
Afghanistan,Sense organ diseases,2018,473.8066551
Afghanistan,Sense organ diseases,2019,471.3987104
Afghanistan,Sense organ diseases,2020,467.8417655
Afghanistan,Sense organ diseases,2021,451.4182564
Afghanistan,Skin and subcutaneous diseases,2017,400.0495665
Afghanistan,Skin and subcutaneous diseases,2018,399.6847218
Afghanistan,Skin and subcutaneous diseases,2019,399.4946888
Afghanistan,Skin and subcutaneous diseases,2020,399.1497277
Afghanistan,Skin and subcutaneous diseases,2021,397.5875465
Afghanistan,Substance use disorders,2017,213.7569267
Afghanistan,Substance use disorders,2018,211.8898992
Afghanistan,Substance use disorders,2019,212.6481351
Afghanistan,Substance use disorders,2020,214.1216261
Afghanistan,Substance use disorders,2021,215.155296
Afghanistan,Transport injuries,2017,1566.658437
Afghanistan,Transport injuries,2018,1549.249524
Afghanistan,Transport injuries,2019,1538.65269
